"id","year","category","subcategory","title","authors","journal","volume_issue_pages","institution","pmid","grant_id","grant_amount_usd","description","tags"
"1","2009","Grant","Statewide","CPRIT Established - First Grants Awarded","","","","Statewide, Texas","","RP_INITIAL","3000000000","Voters approved Prop 15 authorizing $3B for cancer research. BCM and MD Anderson liver researchers were early recipients, launching Texas's HCC infrastructure.","CPRIT,policy,funding,statewide"
"2","2011","Article","BCM","Hepatocellular Carcinoma","El-Serag HB","N Engl J Med","365:1118-1127","Baylor College of Medicine / Houston VA","21992124","","","Landmark global HCC review documenting the rapid rise of HCV-related HCC as the fastest-growing cause of US cancer deaths.","HCC,HCV,epidemiology,review"
"3","2012","Article","Ramirez Lab","HCC Incidence & Risk Factors in Texas Latinos","Ramirez AG et al.","PLoS One","7(4):e35573","UTHSCSA / IHPR San Antonio","22530052","","","First study documenting South Texas Latinos have the nation's highest HCC rates (10.6/100K). Identified obesity and diabetes as key modifiable risk factors.","HCC,Latino,disparities,Texas,epidemiology,UTHSCSA"
"4","2012","Article","BCM","Epidemiology of Viral Hepatitis and HCC","El-Serag HB","Gastroenterology","142(6):1264-1273","Baylor College of Medicine","22537432","","","Quantified population-attributable fraction of HBV/HCV in HCC; foundational for Texas public health interventions.","HCC,HBV,HCV,epidemiology,BCM"
"5","2014","Article","Ramirez Lab","HCC in Texas Latinos 1995-2010: An Update","Ramirez AG et al.","PLoS One","9(6):e99365","UTHSCSA / IHPR San Antonio","24915432","","","Confirmed TX Latino male/female HCC rates 3.1x and 4.0x higher than non-Hispanic Whites.","HCC,Latino,disparities,Texas,UTHSCSA"
"6","2015","Grant","Multi-Institution","Texas HCC Consortium (THCCC)","Multi-PI","","","BCM / UTSW / MD Anderson / UT San Antonio","","RP150587","6000000","CPRIT Multi-Investigator Award launching the THCCC - 5000-patient prospective cohort at 5 Texas centers for HCC risk factors and early detection biomarkers.","CPRIT,THCCC,cohort,biomarkers,multi-institution"
"7","2017","Article","Ramirez Lab","Lifestyle & Clinical Correlates of HCC - Aflatoxin Study","Ramirez AG et al.","Clin Gastroenterol Hepatol","16(3):373-380","UTHSCSA / IHPR San Antonio","28344065","","","First U.S. study linking aflatoxin exposure to HCC in a Latino-majority population. Cases had 6x higher odds of detectable aflatoxins in blood.","HCC,Latino,aflatoxin,risk factors,UTHSCSA"
"8","2018","Article","UTSW","AFP + Ultrasound for HCC Detection: Meta-Analysis","Tzartzeva K, Obi J, Rich NE, Singal AG et al.","Gastroenterology","154(6):1706-1718","UT Southwestern Dallas","29425931","","","32 studies: AFP + ultrasound improves HCC sensitivity to 63% vs 45% for ultrasound alone. Formed basis for updated AASLD surveillance guidelines.","HCC,AFP,surveillance,meta-analysis,AASLD,UTSW"
"9","2018","Milestone","Multi-Institution","THCCC Cohort - 2000+ Patients Enrolled","","","","BCM / UTSW / MD Anderson / UT San Antonio","","","","Semi-annual ultrasound, AFP, labs, and biospecimens collected across 5 Texas sites. One of the largest prospective HCC biomarker repositories in the US.","THCCC,cohort,milestone,biomarkers"
"10","2018","Article","Multi-Institution","Epidemiology and Management of HCC","Singal AG; El-Serag HB et al.","Gastroenterology","154(6):1693-1704","UT Southwestern / BCM","","","","Comprehensive review of HCC risk stratification, surveillance, staging, and treatment. Addressed NAFLD/NASH-HCC epidemic and rising rates in Hispanic populations.","HCC,NAFLD,NASH,epidemiology,review,UTSW,BCM"
